accessions	gene_id	gene	gene_description	alt_gene_description	all_GO_ids	BP_GO_ids	CC_GO_ids	MF_GO_ids
Q8ZXT3			Uncharacterized protein PAE1111	RING finger protein 84				
Q5REG4	100171717	DTX3	Probable E3 ubiquitin-protein ligase DTX3	RING-type E3 ubiquitin transferase DTX3	GO:0005737;GO:0046872;GO:0016740;GO:0007219;GO:0016567	GO:0007219;GO:0016567	GO:0005737	GO:0046872;GO:0016740
Q8QG60;Q8QG52;Q8QGQ5	374092	CRY2	Cryptochrome-2	RING-type E3 ubiquitin transferase DTX3	GO:0005737;GO:0005634;GO:0003677;GO:0071949;GO:0009881;GO:0032922;GO:0007623;GO:0043153;GO:0042754;GO:0045892;GO:0018298;GO:0042752;GO:0009416	GO:0032922;GO:0007623;GO:0043153;GO:0042754;GO:0045892;GO:0018298;GO:0042752;GO:0009416	GO:0005737;GO:0005634	GO:0003677;GO:0071949;GO:0009881
Q9H583;Q5T3Q8;Q6P197;Q9NW23	55127	HEATR1	HEAT repeat-containing protein 1 N-terminally processed	U3 small nucleolar RNA-associated protein 10 homolog	GO:0030686;GO:0001650;GO:0016020;GO:0005739;GO:0005730;GO:0005654;GO:0032040;GO:0034455;GO:0003723;GO:0030515;GO:0000462;GO:2000234;GO:0045943	GO:0000462;GO:2000234;GO:0045943	GO:0030686;GO:0001650;GO:0016020;GO:0005739;GO:0005730;GO:0005654;GO:0032040;GO:0034455	GO:0003723;GO:0030515
A0JMR6	779416	mysm1	Histone H2A deubiquitinase MYSM1	Myb-like SWIRM and MPN domain-containing protein 1	GO:0005634;GO:0003677;GO:0042393;GO:0070122;GO:0046872;GO:0140492;GO:0004843;GO:0003713;GO:0006338;GO:0035522;GO:0045944	GO:0006338;GO:0035522;GO:0045944	GO:0005634	GO:0003677;GO:0042393;GO:0070122;GO:0046872;GO:0140492;GO:0004843;GO:0003713
O88917;O09026;O35818;O88916	65096	Adgrl1	Adhesion G protein-coupled receptor L1	Latrophilin-1	GO:0030424;GO:0098978;GO:0030426;GO:0005887;GO:0099056;GO:0043005;GO:0005886;GO:0014069;GO:0042734;GO:0045202;GO:0030246;GO:0050839;GO:0004930;GO:0016524;GO:0015643;GO:0007189;GO:0007420;GO:0035584;GO:0007166;GO:0007157;GO:0051965;GO:0090129	GO:0007189;GO:0007420;GO:0035584;GO:0007166;GO:0007157;GO:0051965;GO:0090129	GO:0030424;GO:0098978;GO:0030426;GO:0005887;GO:0099056;GO:0043005;GO:0005886;GO:0014069;GO:0042734;GO:0045202	GO:0030246;GO:0050839;GO:0004930;GO:0016524;GO:0015643
Q7D513		egtB	Hercynine oxygenase	Gamma-glutamyl hercynylcysteine S-oxide synthase	GO:0044875;GO:0005506;GO:0004497			GO:0044875;GO:0005506;GO:0004497
Q92968;B2RCS1	5194	PEX13	Peroxisomal membrane protein PEX13	Peroxin-13	GO:0005829;GO:0005779;GO:0016020;GO:1990429;GO:0005778;GO:0005777;GO:0021795;GO:0001561;GO:0007626;GO:0060152;GO:0001764;GO:0016560;GO:0001967	GO:0021795;GO:0001561;GO:0007626;GO:0060152;GO:0001764;GO:0016560;GO:0001967	GO:0005829;GO:0005779;GO:0016020;GO:1990429;GO:0005778;GO:0005777	
A6H769	505507	RPS7	40S ribosomal protein S7	Peroxin-13	GO:0022627;GO:0005815;GO:0032040;GO:0003735;GO:0042274;GO:0006364;GO:0006412	GO:0042274;GO:0006364;GO:0006412	GO:0022627;GO:0005815;GO:0032040	GO:0003735
Q14676;A2AB04;A2BF04;A2RRA8;A7YY86;B0S8A2;Q0EFC2;Q2L6H7;Q2TAZ4Q5JP55;Q5JP56;Q5ST83;Q68CQ3;Q86Z06;Q96QC2	9656	MDC1	Mediator of DNA damage checkpoint protein 1	Nuclear factor with BRCT domains 1	GO:0005694;GO:0005925;GO:0016604;GO:0005654;GO:0005634;GO:0070975;GO:0008022;GO:0006281;GO:0031573	GO:0006281;GO:0031573	GO:0005694;GO:0005925;GO:0016604;GO:0005654;GO:0005634	GO:0070975;GO:0008022
Q54W11	8622324	mcfL	Mitochondrial substrate carrier family protein L	Nuclear factor with BRCT domains 1	GO:0016021;GO:0005743;GO:0055085	GO:0055085	GO:0016021;GO:0005743	
Q9FKK7;Q8L759	835871	XYLA	Xylose isomerase	Nuclear factor with BRCT domains 1	GO:0005783;GO:0005794;GO:0000325;GO:0009536;GO:0099503;GO:0046872;GO:0009045;GO:0042843	GO:0042843	GO:0005783;GO:0005794;GO:0000325;GO:0009536;GO:0099503	GO:0046872;GO:0009045
Q3ZCD7	614105	TECR	Very-long-chain enoyl-CoA reductase	Trans-23-enoyl-CoA reductase	GO:0005783;GO:0030176;GO:0016491;GO:0102758;GO:0030497;GO:0006665;GO:0006694;GO:0042761	GO:0030497;GO:0006665;GO:0006694;GO:0042761	GO:0005783;GO:0030176	GO:0016491;GO:0102758
Q9D180;A2ACY9	68625	Cfap57	Cilia- and flagella-associated protein 57	WD repeat-containing protein 65				
Q9D6Z0;Q8K1H3;Q9CY41;Q9D942	66400	Alkbh7	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7 mitochondrial	Alkylated DNA repair protein alkB homolog 7	GO:0005759;GO:0005739;GO:0051213;GO:0046872;GO:0006974;GO:0006631;GO:0010883;GO:1902445	GO:0006974;GO:0006631;GO:0010883;GO:1902445	GO:0005759;GO:0005739	GO:0051213;GO:0046872
O67987	66790434	clcA	Chlorocatechol 12-dioxygenase	Alkylated DNA repair protein alkB homolog 7	GO:0018576;GO:0018575;GO:0008199;GO:0019439;GO:0009712	GO:0019439;GO:0009712		GO:0018576;GO:0018575;GO:0008199
P86029;A0A1D8PLI0;Q5AMS9	3635693	HQD2	Catechol 12-dioxygenase	Alkylated DNA repair protein alkB homolog 7	GO:0018576;GO:0008199;GO:0005506;GO:0016702;GO:0019615;GO:0019614;GO:0009712	GO:0019615;GO:0019614;GO:0009712		GO:0018576;GO:0008199;GO:0005506;GO:0016702
Q3B8M3;Q58E90	734371	eif3e-b	Eukaryotic translation initiation factor 3 subunit E-B	Eukaryotic translation initiation factor 3 subunit 6-B	GO:0016282;GO:0033290;GO:0005852;GO:0071540;GO:0005634;GO:0003743;GO:0001732;GO:0006413	GO:0001732;GO:0006413	GO:0016282;GO:0033290;GO:0005852;GO:0071540;GO:0005634	GO:0003743
Q8BKE9;B1AWG2;Q80ZI3;Q9CSY1;Q9CUS0;Q9D9T5	67694	Ift74	Intraflagellar transport protein 74 homolog	Coiled-coil domain-containing protein 2	GO:0005813;GO:0005929;GO:0031410;GO:0030992;GO:0005634;GO:0048487;GO:0003682;GO:0060271;GO:0007368;GO:0008544;GO:0007507;GO:0042073;GO:0035735;GO:0003334;GO:0050680;GO:1905515;GO:0007219;GO:0033630;GO:0045944	GO:0060271;GO:0007368;GO:0008544;GO:0007507;GO:0042073;GO:0035735;GO:0003334;GO:0050680;GO:1905515;GO:0007219;GO:0033630;GO:0045944	GO:0005813;GO:0005929;GO:0031410;GO:0030992;GO:0005634	GO:0048487;GO:0003682
P32240	19219	Ptger4	Prostaglandin E2 receptor EP4 subtype	Prostanoid EP4 receptor	GO:0016021;GO:0044306;GO:0043025;GO:0031965;GO:0005886;GO:0004957;GO:0007189;GO:0007188;GO:0060348;GO:0071260;GO:0071380;GO:0042466;GO:0097070;GO:0070371;GO:0006954;GO:0007254;GO:0042322;GO:0001818;GO:1904336;GO:1904471;GO:2000420;GO:0010727;GO:0050728;GO:0033624;GO:0032690;GO:0051771;GO:0002792;GO:1904348;GO:0032720;GO:2000388;GO:0045780;GO:1904364;GO:0043950;GO:0045785;GO:0008284;GO:1904367;GO:0046010;GO:0001819;GO:0007204;GO:0010628;GO:1900127;GO:0050729;GO:0032733;GO:0032757;GO:1904466;GO:0070257;GO:2000391;GO:0045778;GO:0045669;GO:2000386;GO:0001934;GO:0050714;GO:0035815;GO:0014911;GO:1904460;GO:1904496;GO:0042531;GO:0035810;GO:0090303;GO:0010840;GO:0030278;GO:0051492;GO:0032496;GO:0042093	GO:0007189;GO:0007188;GO:0060348;GO:0071260;GO:0071380;GO:0042466;GO:0097070;GO:0070371;GO:0006954;GO:0007254;GO:0042322;GO:0001818;GO:1904336;GO:1904471;GO:2000420;GO:0010727;GO:0050728;GO:0033624;GO:0032690;GO:0051771;GO:0002792;GO:1904348;GO:0032720;GO:2000388;GO:0045780;GO:1904364;GO:0043950;GO:0045785;GO:0008284;GO:1904367;GO:0046010;GO:0001819;GO:0007204;GO:0010628;GO:1900127;GO:0050729;GO:0032733;GO:0032757;GO:1904466;GO:0070257;GO:2000391;GO:0045778;GO:0045669;GO:2000386;GO:0001934;GO:0050714;GO:0035815;GO:0014911;GO:1904460;GO:1904496;GO:0042531;GO:0035810;GO:0090303;GO:0010840;GO:0030278;GO:0051492;GO:0032496;GO:0042093	GO:0016021;GO:0044306;GO:0043025;GO:0031965;GO:0005886	GO:0004957
Q9GKL8		CTSL	Cathepsin L light chain	Major excreted protein	GO:0016324;GO:0042583;GO:0005615;GO:0005764;GO:0004197;GO:0048002;GO:0043373;GO:0030574;GO:0060309;GO:0034230;GO:0016540;GO:0046718;GO:0031638	GO:0048002;GO:0043373;GO:0030574;GO:0060309;GO:0034230;GO:0016540;GO:0046718;GO:0031638	GO:0016324;GO:0042583;GO:0005615;GO:0005764	GO:0004197
Q4ZJM9;B2RV40	239659	C1ql4	Complement C1q-like protein 4	C1q and tumor necrosis factor-related protein 11	GO:0005581;GO:0005615;GO:0042802;GO:0070373;GO:0045599;GO:0048147	GO:0070373;GO:0045599;GO:0048147	GO:0005581;GO:0005615	GO:0042802
P18173;Q9VI87	40875	Gld	Glucose dehydrogenase [FAD quinone] short protein	C1q and tumor necrosis factor-related protein 11	GO:0005576;GO:0050660;GO:0016491;GO:0016614;GO:0006006;GO:0008364;GO:0046693	GO:0006006;GO:0008364;GO:0046693	GO:0005576	GO:0050660;GO:0016491;GO:0016614
A6NDV4;B3KQF3;O75539;Q49AB1;Q4KMX5;Q5TCW5;Q9HBY2;Q9P0U7	51754	TMEM8B	Transmembrane protein 8B	Protein NGX6	GO:0009986;GO:0005783;GO:0016021;GO:0005739;GO:0005634;GO:0005886;GO:0007160;GO:0040008;GO:0007346	GO:0007160;GO:0040008;GO:0007346	GO:0009986;GO:0005783;GO:0016021;GO:0005739;GO:0005634;GO:0005886	
Q9ESN3;Q543X8;Q99JS5	60455	Pgap6	Post-GPI attachment to proteins factor 6	Transmembrane protein 8A	GO:0005887;GO:0005765;GO:0005886;GO:0004623;GO:0006629	GO:0006629	GO:0005887;GO:0005765;GO:0005886	GO:0004623
Q9XVZ8	175090		Transcription elongation factor 1 homolog	Transmembrane protein 8A	GO:0005730;GO:0008023;GO:0046872;GO:0000993;GO:0006368	GO:0006368	GO:0005730;GO:0008023	GO:0046872;GO:0000993
Q9QYM7	100689044	ERCC4	DNA repair endonuclease XPF	DNA excision repair protein ERCC-4	GO:0000781;GO:0070522;GO:0000110;GO:0005634;GO:1990599;GO:0003684;GO:0042802;GO:1990841;GO:0008022;GO:0047485;GO:0003697;GO:0001094;GO:0034644;GO:0000724;GO:0006303;GO:1905768;GO:1905765;GO:0032205;GO:1904357;GO:0006289;GO:0033683;GO:0006295;GO:0006296;GO:0010506;GO:0009411;GO:0061819;GO:0009650	GO:0034644;GO:0000724;GO:0006303;GO:1905768;GO:1905765;GO:0032205;GO:1904357;GO:0006289;GO:0033683;GO:0006295;GO:0006296;GO:0010506;GO:0009411;GO:0061819;GO:0009650	GO:0000781;GO:0070522;GO:0000110;GO:0005634	GO:1990599;GO:0003684;GO:0042802;GO:1990841;GO:0008022;GO:0047485;GO:0003697;GO:0001094
Q9BXJ4;Q0VAN4;Q542Y2;Q6MZN1;Q96KY1	114899	C1QTNF3	Complement C1q tumor necrosis factor-related protein 3	Secretory protein CORS26	GO:0005581;GO:0070062;GO:0005615;GO:0016020;GO:0042802;GO:0035356;GO:0045444;GO:0010629;GO:0045721;GO:0050728;GO:0032715;GO:0071638;GO:1901223;GO:0070165;GO:0001819	GO:0035356;GO:0045444;GO:0010629;GO:0045721;GO:0050728;GO:0032715;GO:0071638;GO:1901223;GO:0070165;GO:0001819	GO:0005581;GO:0070062;GO:0005615;GO:0016020	GO:0042802
Q02508		HGV2	Protein HGV2	Secretory protein CORS26	GO:0005634		GO:0005634	
P55096	19299	Abcd3	ATP-binding cassette sub-family D member 3	70 kDa peroxisomal membrane protein	GO:0016021;GO:0043231;GO:0005743;GO:0005739;GO:0005782;GO:0005778;GO:0005777;GO:0140359;GO:0047617;GO:0005524;GO:0016887;GO:0042626;GO:0005324;GO:0042803;GO:0043621;GO:0015721;GO:0006699;GO:0006635;GO:0006633;GO:0006869;GO:0015910;GO:0007031;GO:1903512;GO:0014070;GO:0009410;GO:0042760;GO:0000038	GO:0015721;GO:0006699;GO:0006635;GO:0006633;GO:0006869;GO:0015910;GO:0007031;GO:1903512;GO:0014070;GO:0009410;GO:0042760;GO:0000038	GO:0016021;GO:0043231;GO:0005743;GO:0005739;GO:0005782;GO:0005778;GO:0005777	GO:0140359;GO:0047617;GO:0005524;GO:0016887;GO:0042626;GO:0005324;GO:0042803;GO:0043621
Q8R3P9;Q497V2;Q5XK30;Q8BHY5;Q8BQM6;Q921Y9	105377	Slf1	SMC5-SMC6 complex localization factor protein 1	Protein BRCTx	GO:0005813;GO:0005737;GO:0042405;GO:0005654;GO:0000786;GO:0005634;GO:0035861;GO:0044877;GO:0031625;GO:0006974;GO:0006281;GO:2000781;GO:0034184;GO:0031334;GO:1990166	GO:0006974;GO:0006281;GO:2000781;GO:0034184;GO:0031334;GO:1990166	GO:0005813;GO:0005737;GO:0042405;GO:0005654;GO:0000786;GO:0005634;GO:0035861	GO:0044877;GO:0031625
Q4VBF2;Q8BJN1;Q8CGD7;Q8JZZ8	109284	R3hdm4	R3H domain-containing protein 4	Protein BRCTx	GO:0005634;GO:0003676		GO:0005634	GO:0003676
Q5R5C1	100173805	UMOD	Uromodulin secreted form	Protein BRCTx	GO:0031225;GO:0016324;GO:0016323;GO:0060170;GO:0005929;GO:0005576;GO:0000922;GO:0005509		GO:0031225;GO:0016324;GO:0016323;GO:0060170;GO:0005929;GO:0005576;GO:0000922	GO:0005509
Q8N2E2;B7ZM77;Q96SQ3	221806	VWDE	von Willebrand factor D and EGF domain-containing protein	Protein BRCTx	GO:0009986;GO:0005576;GO:0005102;GO:0048856	GO:0048856	GO:0009986;GO:0005576	GO:0005102
Q15831;B2RBX7;E7EW76	6794	STK11	Serine/threonine-protein kinase STK11	Renal carcinoma antigen NY-REN-19	GO:0005737;GO:0005829;GO:0070062;GO:0140535;GO:0016020;GO:0005739;GO:0005654;GO:0005634;GO:0030018;GO:0005524;GO:0030275;GO:0000287;GO:0002039;GO:0030295;GO:0106310;GO:0004674;GO:0004712;GO:0044877;GO:0032147;GO:0043276;GO:0006914;GO:0007409;GO:0060070;GO:0006974;GO:0071493;GO:0097484;GO:0030010;GO:0070314;GO:0042593;GO:0051645;GO:0072332;GO:0090090;GO:0030308;GO:0008285;GO:0120163;GO:0060770;GO:1904262;GO:0018107;GO:0010508;GO:0050772;GO:0045722;GO:1900182;GO:0030511;GO:1901610;GO:0045059;GO:0046777;GO:0006470;GO:0006468;GO:0051726;GO:0001558;GO:0048814;GO:0051896;GO:1901796;GO:0014823;GO:0033762;GO:0010212;GO:0033993;GO:0097066;GO:0007283;GO:0050852;GO:0001894;GO:0001944	GO:0032147;GO:0043276;GO:0006914;GO:0007409;GO:0060070;GO:0006974;GO:0071493;GO:0097484;GO:0030010;GO:0070314;GO:0042593;GO:0051645;GO:0072332;GO:0090090;GO:0030308;GO:0008285;GO:0120163;GO:0060770;GO:1904262;GO:0018107;GO:0010508;GO:0050772;GO:0045722;GO:1900182;GO:0030511;GO:1901610;GO:0045059;GO:0046777;GO:0006470;GO:0006468;GO:0051726;GO:0001558;GO:0048814;GO:0051896;GO:1901796;GO:0014823;GO:0033762;GO:0010212;GO:0033993;GO:0097066;GO:0007283;GO:0050852;GO:0001894;GO:0001944	GO:0005737;GO:0005829;GO:0070062;GO:0140535;GO:0016020;GO:0005739;GO:0005654;GO:0005634;GO:0030018	GO:0005524;GO:0030275;GO:0000287;GO:0002039;GO:0030295;GO:0106310;GO:0004674;GO:0004712;GO:0044877
Q5ZJN0	423983	ASNSD1	Asparagine synthetase domain-containing protein 1	Renal carcinoma antigen NY-REN-19	GO:0004066;GO:0006529;GO:0006541	GO:0006529;GO:0006541		GO:0004066
Q802T2	395078	ALG6	Dolichyl pyrophosphate Man9GlcNAc2 alpha-13-glucosyltransferase	Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase	GO:0005789;GO:0016021;GO:0042281;GO:0006488;GO:0006490;GO:0006487	GO:0006488;GO:0006490;GO:0006487	GO:0005789;GO:0016021	GO:0042281
Q0EEE2;A2AC39;Q9CUM1;Q9D3R2	74675	Ptchd3	Patched domain-containing protein 3	RND-type protein RNDEu-3	GO:0016021;GO:0016020;GO:0097225		GO:0016021;GO:0016020;GO:0097225	
P29540;Q5FWM0	734303	gtf2e2	General transcription factor IIE subunit 2	Transcription initiation factor IIE subunit beta	GO:0005673;GO:0003677;GO:0006367	GO:0006367	GO:0005673	GO:0003677
Q6PDJ1;A2A8W3;Q6PFZ0;Q6ZPM4;Q8BNP3	320508	Cachd1	VWFA and cache domain-containing protein 1	Transcription initiation factor IIE subunit beta	GO:0005891;GO:0005245		GO:0005891	GO:0005245
D4GU72	8924604	agl12	Low-salt glycan biosynthesis protein Agl12	Transcription initiation factor IIE subunit beta	GO:0008460;GO:0009225;GO:0006486;GO:0045232	GO:0009225;GO:0006486;GO:0045232		GO:0008460
Q9VKJ9	34543	l(2)gd1	Coiled-coil and C2 domain-containing protein 1-like	Lethal giant disks protein	GO:0005737;GO:0098592;GO:0005634;GO:0000981;GO:0001227;GO:0005543;GO:0000978;GO:0048749;GO:0016197;GO:0048132;GO:0008586;GO:0006886;GO:0000281;GO:0045746;GO:0007219;GO:0006357;GO:0007423;GO:0045035;GO:0007472	GO:0048749;GO:0016197;GO:0048132;GO:0008586;GO:0006886;GO:0000281;GO:0045746;GO:0007219;GO:0006357;GO:0007423;GO:0045035;GO:0007472	GO:0005737;GO:0098592;GO:0005634	GO:0000981;GO:0001227;GO:0005543;GO:0000978
Q9HAR2;E9PE04;O94867;Q9NWK5	23284	ADGRL3	Adhesion G protein-coupled receptor L3	Lectomedin-3	GO:0030424;GO:0005911;GO:0098978;GO:0016021;GO:0005887;GO:0005509;GO:0030246;GO:0004930;GO:0007189;GO:0007420;GO:0007166;GO:0098742;GO:0007186;GO:0001764;GO:0007416	GO:0007189;GO:0007420;GO:0007166;GO:0098742;GO:0007186;GO:0001764;GO:0007416	GO:0030424;GO:0005911;GO:0098978;GO:0016021;GO:0005887	GO:0005509;GO:0030246;GO:0004930
Q07666;D3DPP3;Q6PJX7;Q8NB97;Q99760	10657	KHDRBS1	KH domain-containing RNA-binding signal transduction-associated protein 1	p68	GO:0005737;GO:0005829;GO:0070618;GO:0016020;GO:0005654;GO:0005634;GO:0032991;GO:0003677;GO:0042802;GO:0003729;GO:0008143;GO:0008266;GO:0019904;GO:1990782;GO:0044877;GO:0003723;GO:0042169;GO:0017124;GO:0035591;GO:0000082;GO:0000086;GO:0006397;GO:0000122;GO:0045892;GO:0046833;GO:0045948;GO:0000381;GO:0048024;GO:0046831;GO:0007283;GO:0050852	GO:0000082;GO:0000086;GO:0006397;GO:0000122;GO:0045892;GO:0046833;GO:0045948;GO:0000381;GO:0048024;GO:0046831;GO:0007283;GO:0050852	GO:0005737;GO:0005829;GO:0070618;GO:0016020;GO:0005654;GO:0005634;GO:0032991	GO:0003677;GO:0042802;GO:0003729;GO:0008143;GO:0008266;GO:0019904;GO:1990782;GO:0044877;GO:0003723;GO:0042169;GO:0017124;GO:0035591
Q9WTK8;Q8VIH6;Q9QUK2;Q9QY57;Q9QZS1	26972	Spo11	Meiotic recombination protein SPO11	p68	GO:0000781;GO:0000228;GO:0005654;GO:0005524;GO:0003677;GO:0003918;GO:0016787;GO:0046872;GO:1990918;GO:0007129;GO:0007141;GO:0042138;GO:0000706;GO:0045141;GO:0048477;GO:0001541;GO:0034502;GO:0007131;GO:0007286;GO:0007130	GO:1990918;GO:0007129;GO:0007141;GO:0042138;GO:0000706;GO:0045141;GO:0048477;GO:0001541;GO:0034502;GO:0007131;GO:0007286;GO:0007130	GO:0000781;GO:0000228;GO:0005654	GO:0005524;GO:0003677;GO:0003918;GO:0016787;GO:0046872
Q9U943			Apolipophorin-1	apoLp-1	GO:0005576;GO:0008289;GO:0005319;GO:0016055	GO:0016055	GO:0005576	GO:0008289;GO:0005319
Q9D1E8;Q3U702;Q8BG61;Q8CGN6	52123	Agpat5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	Lysophosphatidic acid acyltransferase epsilon	GO:0012505;GO:0005789;GO:0016021;GO:0005739;GO:0005635;GO:0003841;GO:0016746;GO:0006639;GO:0016024;GO:0002244	GO:0006639;GO:0016024;GO:0002244	GO:0012505;GO:0005789;GO:0016021;GO:0005739;GO:0005635	GO:0003841;GO:0016746
